Country,Tier
Afghanistan,Low Income
Bangladesh,Low Income
Benin,Low Income
Burkina Faso,Low Income
Burundi,Low Income
Cambodia,Low Income
Central African Republic,Low Income
Chad,Low Income
Comoros,Low Income
"Congo, Dem. Rep",Low Income
Eritrea,Low Income
Ethiopia,Low Income
"Gambia, The",Low Income
Guinea,Low Income
Guinea-Bisau,Low Income
Haiti,Low Income
Kenya,Low Income
"Korea, Democratic People's Republic ",Low Income
Kyrgyz Republic,Low Income
Liberia,Low Income
Madagascar,Low Income
Malawi,Low Income
Mali,Low Income
Mozambique,Low Income
Myanmar,Low Income
Nepal,Low Income
Niger,Low Income
Rwanda,Low Income
Sierra Leone,Low Income
Somalia,Low Income
South Sudan,Low Income
Tajikistan,Low Income
Tanzania,Low Income
Togo,Low Income
Uganda,Low Income
Zimbabwe,Low Income
Armenia,Lower Middle Income
Bhutan,Lower Middle Income
Bolivia,Lower Middle Income
Cameroon,Lower Middle Income
Cape Verde,Lower Middle Income
"Congo, Rep.",Lower Middle Income
Côte d'Ivoire,Lower Middle Income
Djibouti,Lower Middle Income
"Egypt, Arab Rep.",Lower Middle Income
El Salvador,Lower Middle Income
Georgia,Lower Middle Income
Ghana,Lower Middle Income
Guatemala,Lower Middle Income
Guyana,Lower Middle Income
Honduras,Lower Middle Income
Indonesia,Lower Middle Income
India,Lower Middle Income
Kiribati,Lower Middle Income
Kosovo,Lower Middle Income
Lao PDR,Lower Middle Income
Lesotho,Lower Middle Income
Mauritania,Lower Middle Income
"Micronesia, Fed. Sts.",Lower Middle Income
Moldova,Lower Middle Income
Mongolia,Lower Middle Income
Morocco,Lower Middle Income
Nicaragua,Lower Middle Income
Nigeria,Lower Middle Income
Pakistan,Lower Middle Income
Papua New Guinea,Lower Middle Income
Paraguay,Lower Middle Income
Philippines,Lower Middle Income
Samoa,Lower Middle Income
São Tomé and Principe,Lower Middle Income
Senegal,Lower Middle Income
Solomon Islands,Lower Middle Income
Sri Lanka,Lower Middle Income
Sudan,Lower Middle Income
Swaziland,Lower Middle Income
Syrian Arab Republic,Lower Middle Income
Timor-Leste,Lower Middle Income
Ukraine,Lower Middle Income
Uzbekistan,Lower Middle Income
Vanuatu,Lower Middle Income
Vietnam,Lower Middle Income
West Bank and Gaza,Lower Middle Income
"Yemen, Rep. ",Lower Middle Income
Zambia,Lower Middle Income
Angola,Upper Middle Income
Albania,Upper Middle Income
Algeria,Upper Middle Income
American Samoa,Upper Middle Income
Argentina,Upper Middle Income
Azerbaijan,Upper Middle Income
Belarus,Upper Middle Income
Belize,Upper Middle Income
Bosnia and Herzegovina,Upper Middle Income
Botswana,Upper Middle Income
Brazil,Upper Middle Income
Bulgaria,Upper Middle Income
China,Upper Middle Income
Colombia,Upper Middle Income
Costa Rica,Upper Middle Income
Cuba,Upper Middle Income
Dominica,Upper Middle Income
Dominican Republic,Upper Middle Income
Ecuador,Upper Middle Income
Fiji,Upper Middle Income
Gabon,Upper Middle Income
Grenada,Upper Middle Income
Hungary,Upper Middle Income
"Iran, Islamic Rep. ",Upper Middle Income
Iraq,Upper Middle Income
Jamaica,Upper Middle Income
Jordan,Upper Middle Income
Kazakhstan,Upper Middle Income
Lebanon,Upper Middle Income
Libya,Upper Middle Income
"Macedonia, FYR",Upper Middle Income
Malaysia,Upper Middle Income
Maldives,Upper Middle Income
Marshall Islands,Upper Middle Income
Mauritius,Upper Middle Income
Mexico,Upper Middle Income
Montenegro,Upper Middle Income
Namibia,Upper Middle Income
Palau,Upper Middle Income
Panama,Upper Middle Income
Peru,Upper Middle Income
Romania,Upper Middle Income
Serbia,Upper Middle Income
Seychelles,Upper Middle Income
South Africa,Upper Middle Income
